prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
Gla,4,4,4,5,6,0
Glim,2,1,5,4,4,0
Glor,3,1,5,6,5,0
Gol,5,5,3,5,7,0
Gor,7,6,4,7,8,0
Grah,7,7,5,7,8,0
Grim,7,6,3,7,7,0
Grol,7,7,5,7,8,0
Gul,7,6,4,6,7,0
Hal,3,3,2,5,7,0
Haz,5,4,4,6,6,0
Hel,6,5,3,6,6,0
Hex,7,4,5,7,6,0
Hil,3,3,2,4,6,0
Hor,6,6,3,6,8,0
Hul,6,6,4,6,7,0
Ilid,4,1,7,5,3,1
Illum,2,1,7,6,3,1
Irid,3,1,7,5,3,1
Irmo,3,1,7,5,4,1
Jal,4,4,4,6,6,0
Jel,3,3,4,4,5,0
Jor,5,5,3,6,7,0
Kae,3,1,6,5,3,0
Kal,5,4,4,6,6,0
Kali,4,2,6,5,3,0
Kas,5,4,4,6,6,0
Kaz,6,5,6,7,7,0
Kel,4,4,3,5,6,0
Kil,6,5,3,7,7,0
Kol,5,5,3,6,7,0
Krag,7,7,5,8,8,0
Krul,8,7,6,8,8,0
Kur,6,6,4,7,8,0
Kyl,4,3,4,6,6,0
Lan,3,2,2,5,6,0
Lar,4,4,3,6,7,0
Laur,2,1,5,5,3,0
Len,3,3,2,4,6,0
Lil,1,1,3,3,2,0
Lila,1,1,4,3,1,0
Lin,2,1,2,3,4,0
Lina,2,1,4,3,2,0
Lind,2,1,4,4,3,0
Lir,3,1,5,4,4,0
Lis,2,1,3,3,3,0
Lok,6,5,4,6,7,0
Lor,3,2,4,5,5,0
Loth,5,3,5,6,5,0
Lun,3,1,5,4,3,0
Luna,2,1,4,4,2,0
Lune,2,1,5,4,2,0
Lur,5,4,5,5,6,0
Luth,3,1,5,5,5,0
Lys,2,1,6,4,2,0
Mael,5,3,6,6,5,0
Mal,7,5,3,7,7,0
Mala,7,4,5,7,6,0
Mar,4,4,2,6,7,0
Mel,3,1,3,4,4,0
Mir,3,1,5,5,4,0
Mith,3,1,5,6,5,0
Mor,7,5,3,7,7,0
Mord,8,6,5,8,8,0
Mul,5,5,3,5,7,0
Mur,6,5,3,6,7,0
Myr,4,1,6,5,4,0
Nal,3,3,4,5,6,0
Narg,7,7,6,7,8,0
Naz,7,5,6,7,7,0
Nec,7,4,5,7,6,0
Nel,3,1,3,4,4,0
Nex,7,4,6,7,6,0
Nid,6,4,5,6,6,0
Night,6,3,3,7,5,0
Nil,4,3,4,5,6,0
Nim,2,1,5,4,3,0
Nir,3,2,5,5,5,0
Noc,6,3,5,6,6,0
Nor,5,4,3,6,7,0
Nos,6,4,4,6,6,0
Nyl,3,1,5,4,4,0
Orcus,8,6,7,8,8,1
Pae,2,1,6,4,2,0
Par,3,3,2,5,7,0
Pel,3,3,3,4,6,0
Per,3,3,2,5,7,0
Phae,2,1,7,5,2,0
Pix,1,1,5,3,2,0
Pyr,6,4,5,7,7,0
Qar,6,4,7,7,7,0
Qel,3,1,7,5,4,0
Qir,4,2,7,6,5,0
Qor,6,4,7,7,6,0
Quel,3,1,7,5,3,0
Quil,3,1,6,4,3,0
Qul,7,5,7,7,7,0
Rael,2,1,6,5,3,0
Ral,4,4,3,5,6,0
Ran,4,4,2,5,7,0
Ras,5,4,4,6,6,0
Raz,6,5,5,7,7,0
Reap,8,5,4,8,7,0
Rel,3,2,3,4,5,0
Ren,3,2,3,5,6,0
Res,3,3,3,5,6,0
Rha,5,4,5,6,5,0
Rho,5,4,5,6,5,0
Ril,3,2,4,4,5,0
Rin,3,1,3,4,5,0
Ris,3,3,4,5,6,0
Riv,3,1,5,5,4,0
Ron,4,5,2,5,7,0
Rul,6,5,4,6,7,0
Ryn,3,1,5,5,5,0
Sae,3,1,6,5,3,0
Sael,2,1,7,5,3,0
Sal,3,3,2,5,6,0
San,3,2,2,5,6,0
Saph,2,1,6,5,3,0
Sar,5,4,3,6,6,0
Scor,7,6,4,7,7,0
Sel,3,1,3,4,4,0
Ser,3,1,3,5,5,0
Seren,1,1,6,5,2,0
Sev,6,5,4,7,7,0
Shad,7,4,4,7,6,0
Shal,4,2,4,6,5,0
Sil,1,1,4,4,3,0
Silm,1,1,6,5,3,0
Sin,6,4,3,6,6,0
Sir,3,2,2,5,7,0
Skul,8,7,4,7,8,0
Slay,8,7,4,8,8,0
Sol,3,1,3,6,6,0
Solr,3,1,5,6,5,0
Sor,5,4,4,6,6,0
Sorg,6,5,5,6,7,0
Star,2,1,3,6,5,0
Stel,3,1,4,5,4,0
Styx,7,4,6,7,6,0
Sul,5,4,4,5,6,0
Sulf,6,6,5,6,7,0
Sur,5,4,3,6,7,0
Syl,1,1,5,4,2,0
Tae,3,1,6,5,3,0
Tal,4,4,3,5,6,0
Tam,3,3,3,4,5,0
Tan,4,3,2,5,6,0
Tar,5,4,3,6,7,0
Tari,2,1,6,5,3,0
Tel,3,2,3,4,5,0
Tem,3,3,3,5,6,0
Ten,3,3,2,4,6,0
Ter,4,4,2,5,7,0
Thae,3,1,6,5,3,0
Thal,4,2,5,6,5,0
Thar,5,4,5,7,7,0
Thax,7,5,7,7,7,0
Thel,3,1,5,5,4,0
Ther,4,3,4,6,6,0
Thil,3,1,5,4,4,0
Thir,4,2,5,5,5,0
Tho,4,4,3,5,7,0
Thor,5,5,4,7,8,0
Thra,6,5,6,7,7,0
Thul,6,5,5,6,7,0
Thur,6,5,4,7,8,0
Tia,2,1,5,4,2,0
Til,3,2,3,4,5,0
Tind,3,1,5,5,5,0
Tir,3,2,4,5,6,0
Tol,4,4,3,5,6,0
Tor,5,5,3,6,7,0
Torr,6,5,4,7,8,0
Tul,4,3,4,5,6,0
Tur,5,5,3,6,7,0
Tyn,3,1,5,5,4,0
Tyr,6,4,5,7,7,0
Vael,4,2,7,6,4,0
Val,4,3,3,6,6,0
Vamp,7,4,5,7,6,0
Van,3,2,3,5,6,0
Vana,1,1,6,5,2,0
Var,5,4,4,6,7,0
Vel,3,1,4,5,5,0
Ven,3,1,4,5,5,0
Veng,8,6,5,8,7,0
Ver,3,2,3,5,6,0
Verd,3,1,5,6,5,0
Ves,3,1,4,5,5,0
Vil,7,5,3,6,6,0
Vile,8,6,4,7,6,0
Vin,3,2,3,5,6,0
Vir,3,1,4,5,6,0
Vish,7,5,6,7,6,0
Vol,5,4,3,6,7,0
Vor,6,5,4,7,7,0
Vorg,7,6,6,7,8,0
Vul,6,5,4,6,7,0
Vyl,5,2,6,6,5,0
Wae,3,1,5,4,3,0
Wal,3,4,2,5,7,0
War,7,6,2,8,8,0
Wel,3,3,2,4,6,0
Wen,2,1,3,4,4,0
Wil,3,3,2,4,6,0
Win,3,1,2,5,6,0
Wol,5,5,3,6,7,0
Wor,5,5,3,6,7,0
Wul,6,6,4,6,7,0
Wyl,3,2,4,5,6,0
Wyn,2,1,5,4,3,0
Xal,6,4,7,7,6,0
Xan,5,3,6,6,5,0
Xar,6,4,7,7,6,0
Xath,7,4,8,7,6,0
Xen,4,2,6,5,5,0
Xer,5,3,6,6,6,0
Xil,4,1,6,5,4,0
Xin,4,2,6,5,5,0
Xir,5,3,6,6,6,0
Xor,6,4,7,7,7,0
Xul,8,6,7,7,7,0
Xyr,5,2,7,6,5,0
Yal,3,1,5,5,5,0
Yar,4,3,5,6,6,1
Yen,3,1,5,4,3,1
Yor,4,4,5,6,6,1
Yul,4,3,5,5,5,1
Zal,6,4,6,6,6,0
Zan,5,3,5,6,6,0
Zar,6,4,6,7,7,0
Zel,4,2,5,5,5,0
Zen,3,1,5,5,5,0
Zil,4,2,5,5,5,0
Zin,4,2,5,5,5,0
Zir,5,3,6,6,6,0
Zol,5,4,5,6,6,0
Zon,5,4,5,6,6,0
Zor,6,4,6,7,7,0
Zoth,8,5,7,8,7,0
Zul,7,5,6,7,7,0
Zur,6,4,6,7,7,0
Abys,9,4,8,8,7,1
Abyss,9,4,8,8,7,1
Aria,1,1,5,3,1,1
Ash,8,7,2,7,8,1
Ave,1,1,4,3,2,1
Axe,8,8,2,8,9,0
Bane,9,6,4,9,8,0
Blade,8,5,3,8,9,0
Blast,8,7,3,8,8,0
Blaze,8,6,4,8,7,0
Blood,9,7,3,8,8,0
Bone,8,7,3,7,8,0
Brawn,6,8,2,9,9,0
Brut,8,9,3,8,9,0
Butch,8,9,2,8,10,0
Chaos,9,6,7,8,7,0
Chill,7,4,3,6,6,0
Core,7,5,3,8,7,0
Corn,1,3,1,3,5,0
Crus,8,7,4,7,8,0
Crust,7,8,3,6,8,0
Crux,6,4,6,7,7,0
Dan,2,3,1,4,6,0
Dawn,2,1,3,6,4,0
Dire,8,5,3,8,7,0
Ember,7,4,4,7,7,0
Eve,2,1,4,4,3,1
Flame,8,5,3,8,7,0
Flora,1,1,4,3,1,0
Forge,7,7,3,8,8,0
Foul,9,7,2,6,8,0
Fren,7,8,4,7,8,0
Froz,6,4,4,5,6,0
Gash,8,8,3,7,8,0
Ghoul,9,7,5,7,7,0
Glace,4,1,7,5,3,0
Gnash,8,8,4,6,8,0
Grav,6,4,4,7,7,0
Grit,6,7,2,7,8,0
Grunt,7,9,2,6,9,0
Hack,7,8,2,7,9,0
Havoc,9,7,4,8,8,0
Host,5,4,2,7,7,0
Hulk,7,8,2,8,9,0
Infern,9,4,5,9,8,1
Ion,4,1,7,6,6,1
Ivy,1,1,4,3,2,1
Jade,3,1,5,5,4,0
Jak,5,6,3,6,8,0
Jan,2,2,1,3,2,0
Jim,2,4,1,4,7,0
Jon,2,3,1,4,7,0
Kate,2,2,1,3,3,0
Krash,8,9,4,7,8,0
Lily,1,1,2,2,1,0
Limp,2,5,2,1,6,0
Lynx,5,3,6,7,6,0
Mace,6,6,3,7,8,0
Maim,8,7,4,7,8,0
Matt,2,3,1,4,7,0
Meek,1,2,2,1,3,0
Myst,5,1,5,6,5,0
Neth,8,4,6,7,6,0
Nox,8,3,6,7,7,0
Nyx,7,3,7,7,5,0
Orb,5,2,5,7,6,1
Pale,2,1,2,1,3,0
Petal,1,1,3,2,1,0
Pew,1,3,1,2,3,0
Phoe,3,1,7,7,5,0
Prim,1,1,4,5,3,0
Pure,1,1,3,5,3,0
Qzar,8,5,10,8,8,0
Rage,8,8,3,8,8,0
Rip,8,8,2,7,8,0
Rose,1,1,2,3,1,0
Ruby,3,1,5,5,3,0
Ruin,9,6,3,8,7,0
Sam,2,3,1,4,6,0
Scar,8,7,3,6,8,0
Scorch,8,7,4,8,8,0
Sera,1,1,4,3,1,0
Shade,7,3,4,6,6,0
Slash,8,8,3,7,8,0
Smash,8,9,2,7,9,0
Soft,1,1,2,1,2,0
Spike,7,7,3,7,8,0
Spite,8,5,3,7,7,0
Storm,7,6,3,9,8,0
Thane,6,4,4,8,9,0
Thund,7,7,4,9,8,0
Tim,2,3,1,3,6,0
Titan,7,5,6,10,9,0
Torch,7,6,3,7,7,0
Tremb,3,4,3,1,4,0
Typh,7,5,7,8,7,0
Umber,4,3,6,6,6,1
Vex,8,4,5,7,7,0
Void,9,3,6,8,7,0
Vort,6,4,6,7,7,0
Whip,7,7,2,7,8,0
Wisp,3,1,4,1,3,0
Wither,8,5,5,6,7,0
Wraith,9,3,6,8,7,0
Wrath,9,6,4,9,8,0
Xyth,7,4,9,7,6,0
Yin,3,1,6,4,3,1
Zax,6,6,7,7,8,0
Zyth,7,5,8,7,7,0
Solas,2,1,6,7,5,1
Lyra,1,1,5,4,2,0
Valer,4,3,4,7,6,0
Zephyr,3,1,7,5,4,0
Kael,4,3,5,6,6,0
Myrth,4,2,6,6,5,0
Fenr,6,5,5,7,8,0
Zalt,6,4,6,6,7,0
Grond,7,8,3,7,9,0
Veridian,2,1,7,6,5,0
Quorin,5,3,8,7,6,0
Jinx,6,3,5,5,5,0
Brev,3,4,3,5,7,0
Mire,5,4,4,3,5,0
Lysan,2,1,6,5,3,1
Orin,4,3,4,6,7,1
Ist,3,2,4,5,5,1
Eon,3,2,7,6,5,1
Silv,1,1,5,5,4,0
Valen,3,2,4,6,6,0
